school,close_contact,positive_case,suspected_case,total,date,cluster
Cooper ES,0.0,0.0,1.0,1,9/10/2020,Archer
Corley ES,0.0,0.0,1.0,1,9/10/2020,Berkmar
Dacula ES,0.0,0.0,1.0,1,9/10/2020,Dacula
Discovery HS,1.0,0.0,0.0,1,9/10/2020,Discovery
Duluth HS,1.0,0.0,0.0,1,9/10/2020,Duluth
Duluth MS,0.0,0.0,1.0,1,9/10/2020,Duluth
Dyer ES,6.0,1.0,4.0,11,9/10/2020,Mountain View
Grayson ES,7.0,0.0,0.0,7,9/10/2020,Grayson
"Gwinnett School of Mathematics, Science, and Technology",1.0,0.0,1.0,2,9/10/2020,Discovery
Harmony ES,1.0,0.0,2.0,3,9/10/2020,Mill Creek
Head ES,1.0,0.0,0.0,1,9/10/2020,Brookwood
Hull MS,0.0,0.0,1.0,1,9/10/2020,Peachtree Ridge
Jones MS,1.0,0.0,1.0,2,9/10/2020,Mill Creek
Lanier HS,0.0,0.0,3.0,3,9/10/2020,Lanier
Lilburn MS,2.0,0.0,4.0,6,9/10/2020,Meadowcreek
McConnell MS,1.0,1.0,1.0,3,9/10/2020,Archer Cluster
Meadowcreek HS,0.0,0.0,2.0,2,9/10/2020,Meadowcreek
Mill Creek HS,24.0,1.0,1.0,26,9/10/2020,Mill Creek
Minor ES,5.0,0.0,1.0,6,9/10/2020,Berkmar
Moore MS,1.0,0.0,1.0,2,9/10/2020,Central Gwinnett
Mountain View HS,11.0,0.0,3.0,14,9/10/2020,Mountain View
Mulberry ES,4.0,0.0,1.0,5,9/10/2020,Dacula
Norcross ES,0.0,0.0,2.0,2,9/10/2020,Norcross
North Gwinnett HS,5.0,1.0,1.0,7,9/10/2020,North Gwinnett
North Gwinnett MS,1.0,0.0,0.0,1,9/10/2020,North Gwinnett
Norton ES,1.0,0.0,0.0,1,9/10/2020,South Gwinnett
Oakland Meadow School,2.0,0.0,2.0,4,9/10/2020,Other
Osborne MS,5.0,0.0,1.0,6,9/10/2020,Mill Creek
Parkview HS,0.0,0.0,1.0,1,9/10/2020,Parkview
Pinckneyville MS,0.0,1.0,0.0,1,9/10/2020,Norcross
Puckett's Mill ES,1.0,0.0,0.0,1,9/10/2020,Mill Creek
Radloff MS,0.0,0.0,1.0,1,9/10/2020,Meadowcreek
Richards MS,0.0,0.0,1.0,1,9/10/2020,Discovery
Riverside ES,4.0,0.0,0.0,4,9/10/2020,North Gwinnett
Shiloh HS,1.0,0.0,0.0,1,9/10/2020,Shiloh
South Gwinnett HS,5.0,0.0,0.0,5,9/10/2020,South Gwinnett
Starling ES,1.0,0.0,1.0,2,9/10/2020,Grayson
Sugar Hill ES,0.0,0.0,1.0,1,9/10/2020,Lanier
Sweetwater MS,0.0,0.0,1.0,1,9/10/2020,Berkmar
Taylor ES,1.0,0.0,0.0,1,9/10/2020,Collins Hill
Trickum MS,2.0,0.0,2.0,4,9/10/2020,Parkview
White Oak ES,1.0,0.0,0.0,1,9/10/2020,Lanier
Winn Holt ES,0.0,0.0,1.0,1,9/10/2020,Central Gwinnett
Woodward Mill ES,0.0,0.0,1.0,1,9/10/2020,Mountain View
Alcova ES,14.0,0.0,2.0,16,11/11/2020,Dacula
Archer HS,12.0,0.0,4.0,16,11/11/2020,Archer
Bay Creek MS,1.0,0.0,0.0,1,11/11/2020,Grayson
Benefield ES,8.0,1.0,0.0,9,11/11/2020,Discovery
Brookwood HS,4.0,1.0,0.0,5,11/11/2020,Brookwood
Burnette ES,2.0,0.0,0.0,2,11/11/2020,North Gwinnett
Chattahoochee ES,1.0,0.0,0.0,1,11/11/2020,Duluth
Chesney ES,4.0,0.0,0.0,4,11/11/2020,Duluth
Couch MS,1.0,1.0,0.0,2,11/11/2020,Grayson
Creekland MS,1.0,0.0,0.0,1,11/11/2020,Collins Hill
Crews MS,2.0,0.0,0.0,2,11/11/2020,Brookwood
Dacula HS,1.0,0.0,0.0,1,11/11/2020,Dacula
Dacula MS,3.0,0.0,0.0,3,11/11/2020,Dacula
Duluth HS,2.0,0.0,0.0,2,11/11/2020,Duluth
Duluth MS,2.0,0.0,2.0,4,11/11/2020,Duluth
Duncan Creek ES,4.0,0.0,0.0,4,11/11/2020,Mill Creek
Five Forks MS,19.0,1.0,0.0,20,11/11/2020,Brookwood
Graves ES,7.0,0.0,2.0,9,11/11/2020,Meadowcreek
Grayson HS,1.0,0.0,0.0,1,11/11/2020,Grayson
Gwinnett Online Campus,1.0,0.0,0.0,1,11/11/2020,Other
Harris ES,1.0,0.0,0.0,1,11/11/2020,Duluth
Head ES,1.0,0.0,0.0,1,11/11/2020,Brookwood
Ivy Creek ES,1.0,0.0,0.0,1,11/11/2020,Mill Creek
Jackson ES,1.0,0.0,0.0,1,11/11/2020,Peachtree Ridge
Jordan MS,1.0,1.0,1.0,3,11/11/2020,Central Gwinnett
Knight ES,6.0,0.0,3.0,9,11/11/2020,Parkview
Lanier HS,13.0,1.0,1.0,15,11/11/2020,Lanier
Level Creek ES,1.0,0.0,0.0,1,11/11/2020,North Gwinnett
